ano;sigla_uf;sigla_uf_nome;id_municipio_nome;tipo_vinculo;vinculo_ativo_3112;tipo_admissao;mes_admissao;mes_desligamento;motivo_desligamento;tempo_emprego;quantidade_horas_contratadas;indicador_trabalho_parcial;indicador_trabalho_intermitente;valor_remuneracao_media;cnae_2_subclasse_descricao_secao;idade;grau_instrucao_apos_2005;sexo;raca_cor;tamanho_estabelecimento;natureza_juridica_descricao;indicador_simples;salario_hora;ln_salario_hora
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;89.7;40;Não;Não;5267.34;Indústrias De Transformação;42;SUP. COMP;Masculino;Parda;De 50 a 99;Sociedade Anônima Fechada;Não;32.920875;3.4941069550425157
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Reemprego;7;0;;5.5;44;Não;Não;1621.71;Indústrias De Transformação;23;MEDIO COMPL;Masculino;Parda;Até 4;Sociedade Empresária Limitada;Sim;9.214261363636364;2.2207524320367904
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Não;Não Admitido Ano;0;11;Rescisão sem justa causa por iniciativa do empregador.;115.6;44;Não;Não;3305.79;Indústrias De Transformação;54;FUND COMPL;Masculino;Branca;De 10 a 19;Sociedade Empresária Limitada;Sim;18.782897727272726;2.932946760454138
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ DET;Não;Reemprego;3;5;Rescisão sem justa causa por iniciativa do empregado ou exoneração a pedido;2.1;44;Não;Não;1844.4;Indústrias De Transformação;18;MEDIO COMPL;Masculino;Branca;De 10 a 19;Sociedade Empresária Limitada;Sim;10.479545454545455;2.3494253052943987
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Não;Não Admitido Ano;0;3;Rescisão sem justa causa por iniciativa do empregado ou exoneração a pedido;7.6;44;Não;Não;1576.93;Indústrias De Transformação;40;MEDIO COMPL;Feminino;Branca;Zero;Sociedade Empresária Limitada;Sim;8.959829545454546;2.1927512028610763
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ DET;Sim;Reemprego;11;0;;1.6;44;Não;Não;2000.0;Indústrias De Transformação;29;FUND COMPL;Feminino;Branca;De 10 a 19;Empresário (Individual);Não;11.363636363636363;2.4304184645039304
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Não;Não Admitido Ano;0;7;Rescisão sem justa causa por iniciativa do empregado ou exoneração a pedido;22.5;44;Não;Não;2495.0;Indústrias De Transformação;60;SUP. COMP;Feminino;Preta;Até 4;Sociedade Empresária Limitada;Sim;14.176136363636363;2.651560013147467
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Reemprego;9;0;;3.6;44;Não;Não;1670.22;Indústrias De Transformação;50;MEDIO COMPL;Feminino;Branca;De 5 a 9;Sociedade Empresária Limitada;Sim;9.489886363636364;2.250226638223101
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Não;Não Admitido Ano;0;5;Rescisão sem justa causa por iniciativa do empregador.;18.9;43;Não;Não;2002.16;Indústrias De Transformação;25;MEDIO COMPL;Masculino;Não identificado;Até 4;Sociedade Empresária Limitada;Não;11.64046511627907;2.4544873999481935
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ DET;Não;Reemprego;10;11;Término do contrato de trabalho.;1.4;44;Não;Não;1412.08;Indústrias De Transformação;22;6. A 9. FUND;Feminino;Preta;De 5 a 9;Sociedade Empresária Limitada;Sim;8.023181818181818;2.082335078633872
